ID,B,C,Value
Derry Area SD,Blended,8/31/2020,District Plan
Derry Township SD,In-Person,8/31/2020,District Plan
Donegal SD,In-Person,8/25/2020,District Plan
Dover Area SD,In-Person,9/8/2020,District Plan
Downingtown Area SD,Remote,8/31/2020,District Plan
Conemaugh Township Area SD,In-Person,8/26/2020,District Plan
Conneaut SD,In-Person,9/2/2020,District Plan
Connellsville Area SD,Blended,9/8/2020,District Plan
Conrad Weiser Area SD,In-Person,9/8/2020,District Plan
Cornell SD,Blended,9/2/2020,District Plan
Cornwall-Lebanon SD,Blended,8/31/2020,District Plan
Crawford Central SD,In-Person,9/2/2020,District Plan
Cheltenham Township SD,Remote,8/31/2020,District Plan
Daniel Boone Area SD,Blended,8/31/2020,District Plan
Karns City Area SD,In-Person,9/2/2020,District Plan
Butler Area SD,In-Person,9/1/2020,District Plan
Lampeter-Strasburg SD,Blended,8/26/2020,District Plan
Lancaster SD,Remote,8/31/2020,District Plan
General McLane SD,Blended,8/25/2020,District Plan
Gettysburg Area SD,Blended,8/31/2020,District Plan
Girard SD,In-Person,9/8/2020,District Plan
Glendale SD,In-Person,8/26/2020,District Plan
Harmony Area SD,Blended,9/8/2020,District Plan
Fort LeBoeuf SD,In-Person,9/9/2020,District Plan
Harrisburg City SD,Remote,8/31/2020,District Plan
Fox Chapel Area SD,Blended,8/24/2020,District Plan
Franklin Area SD,In-Person,9/1/2020,District Plan
Franklin Regional SD,Blended,9/8/2020,District Plan
Frazier SD,Blended,8/31/2020,District Plan
